arm,source_arm,order,role,stage_id,stage_kind,experiment_group,changed_factor,metadata_json
FINAL_DEFAULT,FINAL_DEFAULT,0,method,CACHE_ONLY_B16_W240_S60,cache_only,DEFAULT,DEFAULT,"{""display_name"": ""FINAL_DEFAULT"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": true, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}"
MATCH_FINAL_POSITION,MATCH_FINAL_POSITION,1,ablation,CACHE_ONLY_B16_W240_S60,cache_only,MATCHING_FINAL,MATCHING_FINAL,"{""display_name"": ""MATCH_FINAL_POSITION"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""position"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}"
MATCH_FINAL_ROW,MATCH_FINAL_ROW,2,ablation,CACHE_ONLY_B16_W240_S60,cache_only,MATCHING_FINAL,MATCHING_FINAL,"{""display_name"": ""MATCH_FINAL_ROW"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""row"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}"
SCALE_P,SCALE_P,3,ablation,CACHE_ONLY_B16_W240_S60,cache_only,SCALE_SUBSET,SCALE_SUBSET,"{""display_name"": ""SCALE_P"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}"
IHP0_NCTP0,IHP0_NCTP0,4,ablation,CACHE_ONLY_B16_W240_S60,cache_only,IHP_X_NCTP,IHP_X_NCTP,"{""display_name"": ""IHP0_NCTP0"", ""fusion"": ""legacy_intersection"", ""incidence"": ""released"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": ""top_fraction"", ""reducer_value"": 0.25, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""legacy"", ""window"": 240}"
IHP1_NCTP0,IHP1_NCTP0,5,ablation,CACHE_ONLY_B16_W240_S60,cache_only,IHP_X_NCTP,IHP_X_NCTP,"{""display_name"": ""IHP1_NCTP0"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": ""top_fraction"", ""reducer_value"": 0.25, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""legacy"", ""window"": 240}"
IHP0_NCTP1,IHP0_NCTP1,6,ablation,CACHE_ONLY_B16_W240_S60,cache_only,IHP_X_NCTP,IHP_X_NCTP,"{""display_name"": ""IHP0_NCTP1"", ""fusion"": ""legacy_intersection"", ""incidence"": ""released"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}"
IHP1_NCTP1,IHP1_NCTP1,7,ablation,CACHE_ONLY_B16_W240_S60,cache_only,IHP_X_NCTP,IHP_X_NCTP,"{""display_name"": ""IHP1_NCTP1"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}"
CTRL_CLS_LEGACY,CTRL_CLS_LEGACY,8,inherited_control,ENCODER_CONTROLS_B16_W240_S60,encoder_controls,PATCH_EMBEDDING,PATCH_EMBEDDING,"{""display_name"": ""CTRL_CLS_LEGACY"", ""embedding"": ""true_global"", ""encoder_calls"": 0, ""ihp"": ""bypassed"", ""is_final"": false, ""model_key"": ""B16"", ""nctp"": ""bypassed"", ""representation"": ""line"", ""stride"": 60, ""window"": 240}"
CTRL_CLS_NATIVE_W240,CTRL_CLS_NATIVE_W240,9,inherited_control,ENCODER_CONTROLS_B16_W240_S60,encoder_controls,PATCH_EMBEDDING,PATCH_EMBEDDING,"{""display_name"": ""CTRL_CLS_NATIVE_W240"", ""embedding"": ""true_global"", ""encoder_calls"": 0, ""ihp"": ""bypassed"", ""is_final"": false, ""model_key"": ""B16"", ""nctp"": ""bypassed"", ""representation"": ""line"", ""stride"": 60, ""window"": 240}"
CTRL_PATCH_MEAN_NATIVE_W240,CTRL_PATCH_MEAN_NATIVE_W240,10,inherited_control,ENCODER_CONTROLS_B16_W240_S60,encoder_controls,PATCH_EMBEDDING,PATCH_EMBEDDING,"{""display_name"": ""CTRL_PATCH_MEAN_NATIVE_W240"", ""embedding"": ""patch_mean"", ""encoder_calls"": 0, ""ihp"": ""bypassed"", ""is_final"": false, ""model_key"": ""B16"", ""nctp"": ""bypassed"", ""representation"": ""line"", ""stride"": 60, ""window"": 240}"
