aggregation,family,subgroup,arm,metric,value,n_valid,n_total
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,f1_max,0.684375,16,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,auprc,0.3955923773241183,16,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,vus_pr,0.7801937517731317,16,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_mean_excess,0.0261992141821634,1,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_score_p95,0.0819331378236244,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,f1_max,0.6099702380952381,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,auprc,0.3903425794586588,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,vus_pr,0.7690323465117245,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_mean_excess,0.0331240785653265,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_score_p95,0.1170256859499782,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,f1_max,0.7089285714285714,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,auprc,0.39192623771871493,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,vus_pr,0.7894506819852465,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_mean_excess,0.0271517779024019,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_score_p95,0.0857029368719172,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,f1_max,0.6423115079365079,16,17
subgroup11,NAB,NAB-AWS,SCALE_P,auprc,0.3591532722803769,16,17
subgroup11,NAB,NAB-AWS,SCALE_P,vus_pr,0.7504343000354902,16,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_mean_excess,0.0363956737746537,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_score_p95,0.1351360976696014,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,f1_max,0.5929206027890238,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,auprc,0.3204373790579075,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,vus_pr,0.7490237633630812,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_mean_excess,0.0376069665631122,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_score_p95,0.0845236248566733,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,f1_max,0.5831983805668016,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,auprc,0.3140286019559547,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,vus_pr,0.7484715184398129,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_mean_excess,0.0381597189620302,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_score_p95,0.0929253243404327,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,f1_max,0.673397435897436,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,auprc,0.4085118696113841,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,vus_pr,0.783289604168569,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_mean_excess,0.0260296672803222,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_score_p95,0.0766278415497326,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,f1_max,0.684375,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,auprc,0.3955923773241183,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,vus_pr,0.7801937517731317,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_mean_excess,0.0261992141821634,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_score_p95,0.0819331378236244,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,f1_max,0.5541666666666667,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,auprc,0.38213831801827436,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,vus_pr,0.7423677370297549,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_mean_excess,0.0100154138555348,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_score_p95,0.0136492401361465,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,f1_max,0.5541666666666667,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,auprc,0.3826955133407333,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,vus_pr,0.742694610737492,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,0.0100153555709218,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,0.0136492401361465,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.5958333333333332,16,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.42486017668771925,16,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.8213949767073534,16,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,0.007271804285073,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,0.0110390409827232,1,17
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,f1_max,0.6547619047619048,5,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,auprc,0.45192665563885737,5,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,vus_pr,0.7225054412357172,5,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,f1_max,0.6214285714285714,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,auprc,0.4234711365381747,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,vus_pr,0.7195953318764877,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,f1_max,0.6357142857142858,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,auprc,0.4045337048910028,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,vus_pr,0.7061657531245851,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_ROW,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,f1_max,0.588095238095238,5,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,auprc,0.41019235598513026,5,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,vus_pr,0.7205369383069624,5,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,SCALE_P,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,f1_max,0.5900000000000001,5,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,auprc,0.3332086645196729,5,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,vus_pr,0.6680579230762025,5,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP0,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,f1_max,0.6244588744588745,5,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,auprc,0.3384271468973521,5,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,vus_pr,0.6843783160847304,5,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP0,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,f1_max,0.6547619047619048,5,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,auprc,0.461330638496792,5,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,vus_pr,0.7187490446516129,5,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,IHP0_NCTP1,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,f1_max,0.6547619047619048,5,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,auprc,0.45192665563885737,5,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,vus_pr,0.7225054412357172,5,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,IHP1_NCTP1,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,f1_max,0.13333333333333333,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,auprc,0.1934004306851637,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,vus_pr,0.704287749653303,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_LEGACY,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,f1_max,0.13333333333333333,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,auprc,0.1949062880353391,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,vus_pr,0.7053331308329296,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.21333333333333332,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.3081244498639118,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.7659501331928954,5,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,f1_max,0.5533730158730158,6,6
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,auprc,0.3278369328467086,6,6
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,vus_pr,0.5156948671622034,6,6
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,FINAL_DEFAULT,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,f1_max,0.5413419913419913,6,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,auprc,0.3057455966768686,6,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,vus_pr,0.48469654948346425,6,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_POSITION,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,f1_max,0.6180555555555555,6,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,auprc,0.36057997818020465,6,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,vus_pr,0.538659388375665,6,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,MATCH_FINAL_ROW,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,SCALE_P,f1_max,0.6117149758454107,6,6
subgroup11,NAB,NAB-Artificial,SCALE_P,auprc,0.2261531308176492,6,6
subgroup11,NAB,NAB-Artificial,SCALE_P,vus_pr,0.442074872124305,6,6
subgroup11,NAB,NAB-Artificial,SCALE_P,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,SCALE_P,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,SCALE_P,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,SCALE_P,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,f1_max,0.44498556998557,6,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,auprc,0.28540413987286134,6,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,vus_pr,0.5175838425383679,6,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP0,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,f1_max,0.6129629629629629,6,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,auprc,0.29264591252710875,6,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,vus_pr,0.5225918805750024,6,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP0,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,f1_max,0.5769841269841269,6,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,auprc,0.3328822665672593,6,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,vus_pr,0.5239141469733578,6,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,IHP0_NCTP1,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,f1_max,0.5533730158730158,6,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,auprc,0.3278369328467086,6,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,vus_pr,0.5156948671622034,6,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,IHP1_NCTP1,anomaly_free_score_p95,,0,6
